Names,Names to reconcile,coord,Type,YearBirth,YearDeath
Augustine,Augustine,,person,0354,0430
cardinal,cardinal,,descriptor,,
Cassiodore,Cassiodore,,person,490,580
"Chantilly. Bibliothèque et Archives du Château, Ms. 65","Chantilly. Bibliothèque et Archives du Château, Ms. 65",,shelfmark,,
Charles I,Charles I,,person,,
"Charles I (roi de Portugal, 1863-1908)","Charles I (roi de Portugal, 1863-1908)",,person,1863,1908
Charles Ier,Charles Ier,,person,1468,1490
chevaliers,chevaliers,,descriptor,1505,1563
Christine de Piza (1364?-1430?),Christine de Pizan (1364?-1430?),,person,1363,1431
jeux olympiques,jeux olympiques,,descriptor,,
Martin Luther (1483-1546),Martin Luther (1483-1546),,person,1483,1546
Numance (ville ancienne),Numance (ville ancienne),-2.44386 41.80804,place,,
"Paris, France","Paris, France",2.3488 48.85341,place,,
Petrarch,Petrarch,,person,1304,1374
Rottenbuch,Rottenbuch,10.96667 47.73333,place,,
"Universitätsbibliothek Heidelberg, Cod. Pal. germ. 832","Universitätsbibliothek Heidelberg, Cod. Pal. germ. 832",,shelfmark,,
 manuscrit, être humain, imprimé, descripteur, œuvre, 
lieu géographique
organisation
famille
document cartographique
estampe
sceau
